"","prefix","band_no1","pop","sex","wk0","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9"
"1",1561,"66052","Urban","F",NA,NA,18.3,NA,18.7,18.6,NA,NA,NA,NA
"2",1661,"65147","Urban","M",19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1741,"98651","Urban","F",19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1741,"98689","Urban","M",NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA
"5",1771,"35427","Urban","M",21.4,21.3,19.9,NA,20.5,19.8,NA,NA,NA,NA
"6",1851,"39244","Urban","M",20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1851,"39259","Urban","F",20.1,NA,NA,NA,NA,NA,NA,NA,NA,19.79
"8",1851,"39269","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,16.92,NA
"9",1851,"39270","Urban","M",18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1851,"39309","Urban","F",17.9,17.7,NA,NA,NA,NA,NA,18.3,NA,NA
"11",1851,"39364","Rural","M",NA,20,17.7,15.4,18.8,18.4,18.67,18.25,18.72,18.88
"12",1851,"39372","Urban","M",21.2,NA,NA,NA,NA,NA,NA,NA,NA,19.8
"13",2591,"00734","Urban","F",20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2591,"00895","Urban","F",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2591,"04203","Urban","M",NA,NA,NA,20.3,NA,NA,NA,NA,NA,NA
"16",2621,"07119","Urban","F",NA,20.6,20.6,NA,NA,NA,NA,NA,NA,NA
"17",2621,"07138","Urban","M",NA,NA,NA,NA,NA,NA,NA,20.38,NA,NA
"18",2621,"14314","Urban","M",22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2631,"04218","Urban","F",21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2631,"04229","Urban","F",20.1,20.8,NA,NA,NA,NA,NA,NA,NA,NA
"21",2631,"04341","Urban","F",19.1,NA,NA,NA,NA,NA,NA,NA,NA,18.57
"22",2631,"31419","Urban","F",NA,NA,NA,NA,NA,NA,18.55,NA,NA,NA
"23",2631,"31436","Urban","M",NA,NA,NA,NA,NA,NA,18.48,NA,NA,NA
"24",2631,"31439","Urban","F",NA,NA,NA,18.6,NA,18.2,NA,NA,NA,NA
"25",2631,"31481","Urban","M",NA,20.8,NA,NA,NA,19.8,NA,NA,NA,NA
"26",2631,"31482","Urban","M",18,NA,17,17.5,NA,NA,NA,NA,NA,16.74
"27",2631,"31486","Urban","M",NA,NA,NA,NA,NA,NA,NA,20.06,NA,NA
"28",2631,"31489","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"29",2631,"31490","Urban","F",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2631,"53708","Urban","F",19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2631,"53709","Urban","M",19.6,NA,NA,NA,18.9,NA,NA,NA,NA,NA
"32",2631,"53712","Urban","M",20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2631,"53713","Urban","F",NA,NA,NA,NA,19.5,18.8,18.34,NA,NA,NA
"34",2631,"53714","Urban","F",NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA
"35",2631,"53715","Urban","M",19.8,NA,NA,NA,NA,18.8,NA,NA,NA,NA
"36",2631,"53716","Urban","M",NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA
"37",2631,"53718","Urban","M",NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA
"38",2631,"53721","Rural","F",NA,19.7,18.7,18.7,19.4,18.6,NA,NA,NA,NA
"39",2631,"53741","Urban","F",19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2631,"53742","Urban","M",20,NA,NA,NA,NA,NA,NA,19.78,NA,NA
"41",2631,"53743","Urban","F",18,17.5,NA,NA,NA,NA,NA,NA,17.08,NA
"42",2631,"53744","Urban","M",20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2631,"53745","Urban","M",20.3,NA,NA,NA,21,NA,NA,20.5,NA,NA
"44",2631,"53746","Urban","M",20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2631,"53747","Urban","F",19.9,NA,NA,NA,NA,NA,19.24,NA,NA,NA
"46",2631,"53748","Urban","F",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2631,"53749","Urban","M",19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2631,"53750","Urban","M",18.9,19.7,19.3,NA,NA,NA,NA,NA,18.41,NA
"49",2631,"53751","Urban","F",16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2631,"53752","Urban","F",18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2631,"53753","Urban","F",19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2631,"53755","Urban","F",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2631,"53756","Urban","M",20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2631,"53757","Urban","F",17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2631,"53758","Urban","M",18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2631,"53759","Urban","F",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2631,"53760","Urban","M",20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2631,"53761","Urban","M",19.7,NA,19.4,19.5,NA,NA,NA,NA,NA,NA
"59",2631,"53762","Urban","M",18.9,18.6,NA,NA,NA,NA,NA,NA,NA,17.08
"60",2631,"53763","Urban","F",19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2631,"53764","Urban","F",17.6,NA,NA,NA,NA,NA,NA,NA,NA,17.64
"62",2631,"53765","Urban","F",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2631,"53766","Urban","M",22,NA,NA,NA,NA,22.5,NA,NA,20.16,NA
"64",2631,"53767","Urban","F",19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2631,"53768","Urban","M",18.5,NA,18.2,NA,NA,NA,NA,17.34,16.65,17.88
"66",2631,"53769","Urban","F",19,17.4,NA,NA,NA,NA,NA,NA,NA,NA
"67",2631,"53770","Urban","F",17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2631,"53771","Urban","M",21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2631,"53772","Urban","F",21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2631,"53773","Urban","F",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2631,"53774","Urban","M",21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2631,"53775","Urban","M",20,NA,NA,NA,NA,NA,NA,NA,NA,17.74
"73",2631,"53776","Urban","M",19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2631,"53777","Urban","M",19.3,19.4,NA,NA,NA,NA,NA,18.54,NA,NA
"75",2631,"53778","Urban","F",18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2631,"53779","Urban","F",19.2,18.7,NA,NA,NA,NA,NA,NA,NA,NA
"77",2631,"53780","Urban","F",18,NA,17.6,NA,NA,NA,NA,NA,NA,NA
"78",2631,"53781","Urban","M",NA,20.2,NA,NA,18.6,NA,NA,NA,NA,NA
"79",2631,"53782","Urban","F",NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA
"80",2631,"53783","Urban","M",NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA
"81",2631,"53784","Urban","M",NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA
"82",2631,"53785","Urban","F",NA,19.9,NA,NA,18.3,NA,17.67,NA,NA,NA
"83",2631,"53786","Urban","M",NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA
"84",2631,"53787","Urban","M",NA,20.5,19.3,NA,NA,NA,NA,NA,NA,NA
"85",2631,"53788","Urban","M",NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA
"86",2631,"53789","Urban","M",NA,20.3,NA,NA,NA,NA,NA,NA,18.49,NA
"87",2631,"53790","Urban","F",NA,19.2,19.5,NA,NA,NA,NA,NA,NA,NA
"88",2631,"53791","Urban","M",NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA
"89",2631,"53792","Urban","F",NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA
"90",2631,"53793","Urban","F",NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA
"91",2631,"53794","Rural","M",NA,20.7,20.6,20.5,20.2,19.9,19.84,19.83,20.12,20.4
"92",2631,"53795","Rural ","M",NA,20.8,20.8,21.2,20.9,20.3,20.45,20.14,20.48,20.31
"93",2631,"53796","Rural","F",NA,17.5,17.5,18.1,18.3,17.9,18.68,18.49,19.06,19.8
"94",2631,"53797","Rural","F",NA,19.3,18.9,20.4,20.6,19.7,20.22,19.29,18.84,19.08
"95",2631,"53798","Rural","M",NA,20.8,20.6,21.2,21.4,20.8,21.41,21.5,21.35,21.57
"96",2631,"53799","Rural","F",NA,18.7,20,20.1,20.4,20.4,20.89,20.23,19.58,20.25
"97",2631,"53800","Rural","F",NA,17.8,17.7,18.6,19.8,19.2,18.88,18.98,18.97,19.14
"98",2631,"53801","Rural","F",NA,19.9,18.6,17.3,19,18.3,18.73,18.37,18.32,18.62
"99",2631,"53802","Rural","M",NA,18,17.8,17.6,17.7,17.4,17.63,17.06,17.34,17.24
"100",2631,"53803","Rural","F",NA,19.6,19.9,20.5,21.5,20.1,21.25,20.21,19.78,20.1
"101",2631,"53804","Rural","F",NA,16.5,17,17.3,18.2,16.9,17.21,16.61,16.96,16.63
"102",2631,"53805","Rural","M",NA,19.5,19.7,19.8,19.3,18.7,18.46,18.37,18.36,18.25
"103",2631,"53806","Rural","F",NA,19,17.1,18.2,17.6,16.7,17.45,17.02,17.28,17.35
"104",2631,"53807","Rural","F",NA,18.5,18.3,19.4,19.6,19.3,20.5,19.43,18.75,19.23
"105",2631,"53808","Rural","M",NA,17.6,17.4,18.9,19,18,18.46,17.54,17.6,17.33
"106",2631,"53810","Rural","F ",NA,18.6,18,18.5,19.1,18.9,18.98,18.33,18.58,18.58
"107",2631,"53811","Rural","F",NA,18.5,18.5,18.5,19.7,18.5,19.4,18.29,18.66,18.6
"108",2631,"53812","Rural","M",NA,19.7,18.2,18.5,18.2,18.2,18.12,17.93,18.16,18.86
"109",2631,"53813","Rural","M",NA,20.6,19,19.4,19.3,18.8,19.01,18.79,18.62,19.28
"110",2631,"53814","Rural","M",NA,19,18.2,18.6,18.8,18,18.4,17.42,17.9,17.6
"111",2631,"53815","Rural","M",NA,19.6,18.9,19.6,20.9,19.6,19.39,19.04,19.13,18.95
"112",2631,"53816","Urban","M",NA,NA,22.4,NA,NA,NA,NA,NA,NA,NA
"113",2631,"53817","Urban","M",NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA
"114",2631,"53818","Urban","M",NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA
"115",2631,"53819","Urban","M",NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"116",2631,"53820","Urban","M",NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA
"117",2631,"53821","Urban","F",NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"118",2631,"53822","Urban","M",NA,NA,20.2,NA,NA,NA,NA,NA,NA,19.74
"119",2631,"53823","Urban","M",NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA
"120",2631,"53824","Urban","M",NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA
"121",2631,"53825","Urban","F",NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA
"122",2631,"53826","Urban","M",NA,NA,NA,18,NA,NA,NA,NA,NA,NA
"123",2631,"53827","Urban","F",NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA
"124",2631,"53828","Urban","F",NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA
"125",2631,"53829","Urban","M",NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA
"126",2631,"53830","Urban","M",NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA
"127",2631,"53831","Urban","M",NA,NA,NA,18.2,NA,NA,NA,NA,NA,NA
"128",2631,"53832","Urban","M",NA,NA,NA,19.4,NA,18.6,NA,NA,NA,NA
"129",2631,"53833","Urban","M",NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA
"130",2631,"53834","Urban","M",NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA
"131",2631,"53835","Urban","M",NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA
"132",2631,"53836","Urban","F",NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA
"133",2631,"53837","Urban","M",NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA
"134",2631,"53838","Urban","M",NA,NA,NA,20.6,NA,NA,20.22,NA,20.08,NA
"135",2631,"53839","Urban","M",NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA
"136",2631,"53840","Urban","M",NA,NA,NA,21,NA,NA,NA,NA,NA,NA
"137",2631,"53841","Urban","M",NA,NA,NA,21.7,21.4,NA,NA,NA,NA,NA
"138",2631,"53842","Urban","M",NA,NA,NA,18.9,NA,NA,NA,NA,NA,NA
"139",2631,"53843","Urban","F",NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA
"140",2631,"53844","Urban","F",NA,NA,NA,19.6,NA,NA,NA,NA,NA,NA
"141",2631,"53845","Urban","M",NA,NA,NA,19.6,NA,NA,NA,NA,NA,19.08
"142",2631,"53846","Urban","F",NA,NA,NA,NA,19.6,NA,NA,NA,18.37,18.94
"143",2631,"53847","Urban","F",NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA
"144",2631,"53848","Urban","M",NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA
"145",2631,"53849","Urban","M",NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA
"146",2631,"53850","Urban","M",NA,NA,NA,NA,21.1,NA,NA,NA,NA,NA
"147",2631,"53851","Urban","F",NA,NA,NA,NA,18.9,NA,NA,NA,NA,NA
"148",2631,"53852","Urban","F",NA,NA,NA,NA,19.3,NA,NA,NA,17.44,NA
"149",2631,"53853","Urban","M",NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA
"150",2631,"53854","Urban","F",NA,NA,NA,NA,18.9,NA,NA,NA,NA,NA
"151",2631,"53855","Urban","M",NA,NA,NA,NA,19.2,NA,NA,NA,NA,NA
"152",2631,"53856","Urban","M",NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA
"153",2631,"53857","Urban","M",NA,NA,NA,NA,20.6,NA,NA,NA,NA,NA
"154",2631,"53858","Urban","M",NA,NA,NA,NA,21,NA,NA,NA,NA,NA
"155",2631,"53859","Urban","F",NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA
"156",2631,"53860","Urban","M",NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA
"157",2631,"53861","Urban","F",NA,NA,NA,NA,NA,19.3,NA,NA,17.62,NA
"158",2631,"53862","Urban","M",NA,NA,NA,NA,NA,19.6,18.39,NA,NA,18.41
"159",2631,"53863","Urban","M",NA,NA,NA,NA,NA,19.4,NA,19.5,NA,NA
"160",2631,"53864","Urban","M",NA,NA,NA,NA,NA,18.8,NA,NA,18.12,17.6
"161",2631,"53865","Urban","F",NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA
"162",2631,"53866","Urban","F",NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA
"163",2631,"53867","Urban","M",NA,NA,NA,NA,NA,19.9,NA,NA,NA,NA
"164",2631,"53868","Urban","M",NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA
"165",2631,"53869","Urban","F",NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA
"166",2631,"53870","Urban","M",NA,NA,NA,NA,NA,20.6,NA,NA,NA,NA
"167",2631,"53871","Urban","F",NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA
"168",2631,"53872","Urban","M",NA,NA,NA,NA,NA,20.7,NA,NA,NA,NA
"169",2631,"53873","Urban","F",NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA
"170",2631,"53874","Urban","M",NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA
"171",2631,"53875","Urban","F",NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA
"172",2631,"53876","Urban","M",NA,NA,NA,NA,NA,NA,21.9,NA,NA,NA
"173",2631,"53877","Urban","M",NA,NA,NA,NA,NA,NA,18.65,NA,18.48,NA
"174",2631,"53878","Urban","F",NA,NA,NA,NA,NA,NA,17.87,NA,NA,NA
"175",2631,"53879","Urban","M",NA,NA,NA,NA,NA,NA,19.44,NA,NA,NA
"176",2631,"53880","Urban","M",NA,NA,NA,NA,NA,NA,18.95,NA,NA,NA
"177",2631,"53881","Urban","M",NA,NA,NA,NA,NA,NA,17.49,NA,NA,NA
"178",2631,"53882","Urban","M",NA,NA,NA,NA,NA,NA,18.75,NA,NA,NA
"179",2631,"53883","Urban","F",NA,NA,NA,NA,NA,NA,18.89,20.22,NA,NA
"180",2631,"53884","Urban","M",NA,NA,NA,NA,NA,NA,19.75,NA,NA,NA
"181",2631,"53885","Urban","F",NA,NA,NA,NA,NA,NA,19.03,NA,NA,NA
"182",2631,"53886","Urban","M",NA,NA,NA,NA,NA,NA,17.06,16.96,NA,NA
"183",2631,"53887","Urban","F",NA,NA,NA,NA,NA,NA,19.25,NA,NA,NA
"184",2631,"53888","Urban","F",NA,NA,NA,NA,NA,NA,17.46,NA,NA,NA
"185",2631,"53889","Urban","F",NA,NA,NA,NA,NA,NA,20.18,NA,NA,NA
"186",2631,"53890","Urban","M",NA,NA,NA,NA,NA,NA,19.27,NA,NA,NA
"187",2631,"53891","Urban","M",NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA
"188",2631,"53892","Urban","F",NA,NA,NA,NA,NA,NA,NA,19.92,NA,NA
"189",2631,"53893","Urban","M",NA,NA,NA,NA,NA,NA,NA,20.74,20.22,NA
"190",2631,"53894","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.26,NA,NA
"191",2631,"53895","Urban","M",NA,NA,NA,NA,NA,NA,NA,18.18,NA,NA
"192",2631,"53896","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.84,NA,NA
"193",2631,"53897","Urban","M",NA,NA,NA,NA,NA,NA,NA,20.02,NA,NA
"194",2631,"53898","Urban","M",NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA
"195",2631,"53899","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.7,NA,NA
"196",2631,"53900","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.76,NA,NA
"197",2631,"55401","Urban","F",NA,NA,NA,NA,NA,NA,NA,18.44,17.8,NA
"198",2631,"55402","Urban","F",NA,NA,NA,NA,NA,NA,NA,20.86,NA,NA
"199",2631,"55403","Urban","F",NA,NA,NA,NA,NA,NA,NA,17.22,NA,NA
"200",2631,"55404","Urban","F",NA,NA,NA,NA,NA,NA,NA,18.38,NA,17.93
"201",2631,"55405","Urban","F",NA,NA,NA,NA,NA,NA,NA,20.56,NA,NA
"202",2631,"55406","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.54,NA
"203",2631,"55407","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.68,NA
"204",2631,"55408","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,19.59,NA
"205",2631,"55409","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.68,18.05
"206",2631,"55410","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,19.42,NA
"207",2631,"55411","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,18.11,NA
"208",2631,"55412","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,18.04,NA
"209",2631,"55413","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,17.12,NA
"210",2631,"55414","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,19.83,NA
"211",2631,"55415","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,19.22,NA
"212",2631,"55417","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99
"213",2631,"55418","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.24
"214",2631,"55419","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.51
"215",2631,"55420","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21
"216",2631,"55422","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.06
"217",2631,"55423","Urban","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.03
"218",2631,"55424","Urban","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.87
"219",2631,"57177","Urban","M",NA,NA,NA,NA,NA,NA,18.06,NA,NA,NA
"220",2641,"57123","Rural","F",NA,19.6,19.2,18.7,20,19.4,19.56,19.29,19.31,19.35
"221",2641,"57180","Urban","F",NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA
